Medicine Name, Quantity, Chemical Name, Compnay Name, Unit Price
A-One,120 mg/5 ml,Paracetamol,Apex Pharmaceuticals Ltd.,60 ml bottle : ৳ 20.59
A-One Plus,500 mg+65 mg,Paracetamol + Caffeine,Apex Pharmaceuticals Ltd.,Unit Price : ৳ 1.50
A-One XR,665 mg,Paracetamol,Apex Pharmaceuticals Ltd.,Unit Price : ৳ 1.51
A-Pak,100 mg,Aceclofenac,Benham Pharmaceuticals Ltd.,Unit Price : ৳ 4.00
A-Phenicol,0.5%,Chloramphenicol,Acme Laboratories Limited,10 ml drop : ৳ 34.50
A-Phenicol,1%,Chloramphenicol,Acme Laboratories Limited,5 gm tube : ৳ 11.70
A-Phenicol D,0.1%+0.5%,Dexamethasone + Chloramphenicol,Acme Laboratories Limited,5 ml drop : ৳ 70.21
A-Rox,150 mg,Roxithromycin,Ambee Pharmaceuticals Ltd.,Unit Price : ৳ 6.53
A-Rox,300 mg,Roxithromycin,Ambee Pharmaceuticals Ltd.,Unit Price : ৳ 11.04
A-Rox,50 mg/5 ml,Roxithromycin,Ambee Pharmaceuticals Ltd.,50 ml bottle : ৳ 45.17
A-Spasm,5 mg,Oxyphenonium Bromide (Oral preparation),Acme Laboratories Limited,Unit Price : ৳ 1.44
A-Sus,200 mg/5 ml,Albendazole,Innova Pharmaceuticals Limited.,Price not available
A-Tetra,500 mg,Tetracycline Hydrochloride (Oral),Acme Laboratories Limited,Unit Price : ৳ 3.39
A-Tetra,500 mg,Tetracycline Hydrochloride (Oral),Acme Laboratories Limited,Unit Price : ৳ 2.30
A-Tetra,1%,Tetracycline Hydrochloride (Ophthalmic),Acme Laboratories Limited,5 gm tube : ৳ 11.58
A-zyme,325 mg,Pancreatin,Acme Laboratories Limited,Unit Price : ৳ 3.51
AB Kit,200 mg+200 mcg,Mifepristone + Misoprostol,Renata Limited,5 tablet kit : ৳ 300.00
AB-DS,400 mg,Albendazole,Prime Pharmaceuticals Ltd.,Unit Price : ৳ 3.00
ABAC,500 mg,Cephradine,Chemist Laboratories  Limited.,Unit Price : ৳ 12.64
ABAC,125 mg/5 ml,Cephradine,Chemist Laboratories  Limited.,100 ml bottle : ৳ 81.92
ABAC,125 mg/1.25 ml,Cephradine,Chemist Laboratories  Limited.,15 ml bottle : ৳ 50.00
Abaclor,250 mg,Cefaclor Monohydrate,ACI Limited,Unit Price : ৳ 21.14
Abaclor,500 mg,Cefaclor Monohydrate,ACI Limited,Unit Price : ৳ 40.27
Abaclor,125 mg/5 ml,Cefaclor Monohydrate,ACI Limited,100 ml bottle : ৳ 201.35
Abaclor,125 mg/1.25 ml,Cefaclor Monohydrate,ACI Limited,15 ml bottle : ৳ 125.86
Abaclor ER,375 mg,Cefaclor Monohydrate,ACI Limited,Unit Price : ৳ 30.09
Abandi,400 mg,Albendazole,RN Pharmaceuticals,Price not available
Abasaglar,100 IU/ml,Insulin Glargine (rDNA),Eli Lilly and Company,3 ml pen : ৳ 1,079.47
Abasaglar,100 IU/ml,Insulin Glargine (rDNA),Eli Lilly and Company,3 ml cartridge : ৳ 727.22
Abcliz,25 mg+50 mg,Meclizine + Pyridoxine,Monicopharma Limited,Price not available
Abdopen,10 mg,Hyoscine Butylbromide,Peoples Pharma Ltd.,Price not available
Abdorin,10 mg,Dicycloverine Hydrochloride,Opsonin Pharma Limited,Unit Price : ৳ 2.01
Abdorin,10 mg/5 ml,Dicycloverine Hydrochloride,Opsonin Pharma Limited,50 ml bottle : ৳ 30.10
Abecab,5 mg+20 mg,Amlodipine + Olmesartan Medoxomil,ACI Limited,Unit Price : ৳ 9.07
Abecab,5 mg+40 mg,Amlodipine + Olmesartan Medoxomil,ACI Limited,Unit Price : ৳ 15.05
Aben-DS,400 mg,Albendazole,Team Pharmaceuticals Ltd.,Unit Price : ৳ 4.50
Abentel,400 mg,Albendazole,Aristopharma Ltd.,Unit Price : ৳ 5.00
Abetis,10 mg,Olmesartan Medoxomil,ACI Limited,Unit Price : ৳ 5.04
Abetis,20 mg,Olmesartan Medoxomil,ACI Limited,Unit Price : ৳ 8.05
Abetis,40 mg,Olmesartan Medoxomil,ACI Limited,Unit Price : ৳ 15.11
Abetis Plus,20 mg+12.5 mg,Olmesartan Medoxomil + Hydrochlorothiazide,ACI Limited,Unit Price : ৳ 8.05
Abetis Plus,40 mg+12.5 mg,Olmesartan Medoxomil + Hydrochlorothiazide,ACI Limited,Unit Price : ৳ 15.00
Abex,(30 mg+100 mg+1.25 mg) / 5 ml,Pseudoephedrine + Guaiphenasine + Triprolidine,Ibn-Sina Pharmaceuticals Ltd.,100 ml bottle : ৳ 35.00
Abixa,10 mg,Memantine Hydrochloride,ACI Limited,Unit Price : ৳ 10.03
Abpres,0.2%+0.5%,Brimonidine Tartrate + Timolol Maleate,Navana Pharmaceuticals Limited,5 ml drop : ৳ 110.00
Absol,2 mg/5 ml,Salbutamol (Oral/Injection),Pharmik Laboratories Limited,50 ml bottle : ৳ 10.78
Ac PR,100 mg,Aceclofenac,Pacific Pharmaceuticals Ltd.,Unit Price : ৳ 3.00
Acaril,50 mg,Acarbose,The White Horse Pharma,Unit Price : ৳ 10.94
Acaril,100 mg,Acarbose,The White Horse Pharma,Unit Price : ৳ 15.99
Accolate,20 mg,Zafirlukast,ACI Limited,Unit Price : ৳ 26.26
Ace,500 mg,Paracetamol,Square Pharmaceuticals Ltd.,Unit Price : ৳ 0.80
Ace,120 mg/5 ml,Paracetamol,Square Pharmaceuticals Ltd.,60 ml bottle : ৳ 20.70
Ace,80 mg/ml,Paracetamol,Square Pharmaceuticals Ltd.,30 ml bottle : ৳ 20.70
Ace,125 mg,Paracetamol,Square Pharmaceuticals Ltd.,Unit Price : ৳ 4.03
Ace,250 mg,Paracetamol,Square Pharmaceuticals Ltd.,Unit Price : ৳ 5.03
Ace,500 mg,Paracetamol,Square Pharmaceuticals Ltd.,Unit Price : ৳ 8.06
Ace Plus,500 mg+65 mg,Paracetamol + Caffeine,Square Pharmaceuticals Ltd.,Unit Price : ৳ 2.51
Ace XR,665 mg,Paracetamol,Square Pharmaceuticals Ltd.,Unit Price : ৳ 1.51
Acebid,100 mg,Aceclofenac,Beacon Pharmaceuticals Ltd.,Unit Price : ৳ 4.01
Acecard,1.25 mg,Ramipril,Healthcare Pharmacuticals Limited,Unit Price : ৳ 3.00
Acecard,2.5 mg,Ramipril,Healthcare Pharmacuticals Limited,Unit Price : ৳ 5.00
Acecard,5 mg,Ramipril,Healthcare Pharmacuticals Limited,Unit Price : ৳ 8.00
Aceclocil,100 mg,Aceclofenac,Pharmacil Limited,Price not available
Aceclof,100 mg,Aceclofenac,Premier Pharmaceuticals Ltd.,Unit Price : ৳ 3.00
Aceclofar,100 mg,Aceclofenac,Bengal drugs Ltd.,Price not available
Aceclofen,100 mg,Aceclofenac,Astra Biopharmaceuticals Ltd.,Unit Price : ৳ 3.00
Aceclora,100 mg,Aceclofenac,Marksman Pharmaceuticals Ltd.,Unit Price : ৳ 1.90
Acecol,100 mg,Aceclofenac,Ziska Pharmaceuticals Limited,Unit Price : ৳ 3.00
Acedol,100 mg,Aceclofenac,Concord Pharmaceuticals Ltd.,Unit Price : ৳ 3.00
Acedol SR,200 mg,Aceclofenac,Concord Pharmaceuticals Ltd.,Unit Price : ৳ 7.00
Acedone Z,250 mg+400 mg,Aluminium Hydroxide + Magnesium Hydroxide,Zenith Pharmaceuticals Ltd.,Unit Price : ৳ 0.53
Acedone Z Plus,400 mg+400 mg+30 mg,Aluminium Hydroxide + Magnesium Hydroxide + Simethicone,Zenith Pharmaceuticals Ltd.,Price not available
Acefenac,100 mg,Aceclofenac,General Pharmaceuticals Ltd.,Unit Price : ৳ 4.00
Acefra,500 mg,Cephradine,Apollo Pharmaceutical Laboratories Ltd.,Unit Price : ৳ 12.00
Acefra,125 mg/5 ml,Cephradine,Apollo Pharmaceutical Laboratories Ltd.,100 ml bottle : ৳ 78.00
Acegic,100 mg,Aceclofenac,Belsen Pharmaceuticals Ltd.,Unit Price : ৳ 3.00
Acelex,250 mg,Cephalexin,Acme Laboratories Limited,Unit Price : ৳ 6.65
Acelex,500 mg,Cephalexin,Acme Laboratories Limited,Unit Price : ৳ 12.49
Acelex,125 mg/5 ml,Cephalexin,Acme Laboratories Limited,100 ml bottle : ৳ 76.81
Acelex,125 mg/1.2 ml,Cephalexin,Acme Laboratories Limited,15 ml drop : ৳ 42.47
Acelock,100 mg,Aceclofenac,Bristol Pharmaceuticals Ltd.,Unit Price : ৳ 3.00
Acelon,100 mg,Aceclofenac,Central Pharmaceuticals Ltd (CPL),Unit Price : ৳ 3.00
Acemox,250 mg,Acetazolamide,Acme Laboratories Limited,Unit Price : ৳ 2.00
Acenac,100 mg,Aceclofenac,Medicon Pharmaceuticals Ltd.,Unit Price : ৳ 2.73
Acenopan,100 mg,Aceclofenac,RN Pharmaceuticals,Price not available
Aceon,2.5 mg,Ramipril,Novo Healthcare and Pharma Ltd.,Price not available
Aceon,5 mg,Ramipril,Novo Healthcare and Pharma Ltd.,Price not available
Acep,500 mg,Paracetamol,Zenith Pharmaceuticals Ltd.,Unit Price : ৳ 0.80
Acep,125 mg/5 ml,Paracetamol,Zenith Pharmaceuticals Ltd.,60 ml bottle : ৳ 16.06
Acep,80 mg/ml,Paracetamol,Zenith Pharmaceuticals Ltd.,15 ml bottle : ৳ 10.91
Acep Plus,500 mg+65 mg,Paracetamol + Caffeine,Zenith Pharmaceuticals Ltd.,Unit Price : ৳ 1.51
Acepril,5 mg,Lisinopril,Drug International Limited,Unit Price : ৳ 3.98
Acepril,10 mg,Lisinopril,Drug International Limited,Unit Price : ৳ 6.90
Acepro,100 mg,Aceclofenac,The White Horse Pharma,Unit Price : ৳ 4.00
Aceptin-R,150 mg,Ranitidine,Asiatic Laboratories Ltd.,Unit Price : ৳ 2.00
Aceril,2.5 mg,Ramipril,Ibn-Sina Pharmaceuticals Ltd.,Unit Price : ৳ 5.00
Aceril,5 mg,Ramipril,Ibn-Sina Pharmaceuticals Ltd.,Unit Price : ৳ 8.00
Acerux,5% w/w,Acyclovir (Topical),Opsonin Pharma Limited,5 gm tube : ৳ 40.16
Acerux,250 mg/vial,Acyclovir (Injection),Opsonin Pharma Limited,250 mg vial : ৳ 399.84
Acerux,500 mg/vial,Acyclovir (Injection),Opsonin Pharma Limited,500 mg vial : ৳ 699.71
Acerux,200 mg,Acyclovir (Oral),Opsonin Pharma Limited,Unit Price : ৳ 14.04
Acerux,400 mg,Acyclovir (Oral),Opsonin Pharma Limited,Unit Price : ৳ 21.99
Acerux,200 mg/5 ml,Acyclovir (Oral),Opsonin Pharma Limited,70 ml bottle : ৳ 125.42
Acerux,3%,Acyclovir (Ophthalmic),Opsonin Pharma Limited,3 gm tube : ৳ 45.17
Aceta,500 mg,Paracetamol,Biopharma Laboratories Ltd.,Unit Price : ৳ 0.80
Aceta,120 mg/5 ml,Paracetamol,Biopharma Laboratories Ltd.,60 ml bottle : ৳ 20.62
Aceta,80 mg/ml,Paracetamol,Biopharma Laboratories Ltd.,15 ml bottle : ৳ 10.85
Aceta Extend,665 mg,Paracetamol,Biopharma Laboratories Ltd.,Unit Price : ৳ 1.50
Aceta-T,325 mg+37.5 mg,Paracetamol + Tramadol Hydrochloride,Biopharma Laboratories Ltd.,Unit Price : ৳ 7.98
Aceta-X,500 mg+65 mg,Paracetamol + Caffeine,Biopharma Laboratories Ltd.,Unit Price : ৳ 1.91
Acetamine,500 mg,Paracetamol,Hope Pharmaceuticals Ltd.,Price not available
Aceto,500 mg,Paracetamol,Reliance Pharmaceuticals Ltd.,Unit Price : ৳ 0.79
Aceto,120 mg/5 ml,Paracetamol,Reliance Pharmaceuticals Ltd.,Price not available
Acetor,25 mg,Captopril,Drug International Limited,Unit Price : ৳ 3.00
Acetram,325 mg+37.5 mg,Paracetamol + Tramadol Hydrochloride,Square Pharmaceuticals Ltd.,Unit Price : ৳ 8.03
ACF,100 mg,Aceclofenac,Decent Pharma Laboratories Ltd.,Unit Price : ৳ 4.00
Acflam,100 mg,Aceclofenac,Apollo Pharmaceutical Laboratories Ltd.,Unit Price : ৳ 3.00
Achnil,200 mg,Tolfenamic acid,Desh Pharmaceuticals Ltd.,Price not available
ACI ORS,10.5 gm/sachet,Oral Rehydration Salt (Powder),ACI Limited,10.5 gm sachet : ৳ 4.60
ACI ORS Fruity,,Oral Rehydration Salt (Flavored),ACI Limited,Unit Price : ৳ 5.00
Acical,500 mg,Calcium Carbonate,ACI Limited,Unit Price : ৳ 4.01
Acical,250 mg,Calcium Carbonate,ACI Limited,Unit Price : ৳ 3.01
Acical D,500 mg+200 IU,Calcium Carbonate (Elemental) + Vitamin D,ACI Limited,Unit Price : ৳ 7.00
Acical-C,1000 mg+327 mg+500 mg,Calcium Lactate Gluconate + Calcium Carbonate + Vitamin-C,ACI Limited,Unit Price : ৳ 11.03
Acical-DX,600 mg+400 mg,Calcium Carbonate (Elemental) + Vitamin D,ACI Limited,Unit Price : ৳ 15.00
Acical-JR,250 mg,Calcium Carbonate,ACI Limited,Unit Price : ৳ 3.01
Acical-M,,Calcium Carbonate + Vitamin D3 + Multimineral,ACI Limited,Unit Price : ৳ 5.90
Acical-MX,600 mg+500 mg,Calcium Carbonate (Elemental) + Vitamin D,ACI Limited,Unit Price : ৳ 20.00
Aciclon,3%,Acyclovir (Ophthalmic),Reman Drug Laboratories Ltd.,3 gm tube : ৳ 60.00
Acicot,0.1%,Dexamethasone Sodium Phosphate (E/E),ACI Limited,5 ml drop : ৳ 62.68
Acicox,100 mg,Celecoxib,ACI Limited,Unit Price : ৳ 4.00
Acidax,250 mg+400 mg,Aluminium Hydroxide + Magnesium Hydroxide,Apollo Pharmaceutical Laboratories Ltd.,Price not available
Acidrox M,400 mg,Magaldrate,Syntho Laboratories Ltd.,Unit Price : ৳ 1.00
Acidrox Plus,480 mg+20 mg,Magaldrate + Simethicone,MST Pharma,Price not available
Acifix,10 mg,Rabeprazole Sodium,Beximco Pharmaceuticals Ltd.,Unit Price : ৳ 3.50
Acifix,20 mg,Rabeprazole Sodium,Beximco Pharmaceuticals Ltd.,Unit Price : ৳ 7.00
Aciflox,200 mg,Sparfloxacin,ACI Limited,Unit Price : ৳ 13.20
Acilog,100 unit/ml,Insulin Aspart,ACI Limited,3 ml vial : ৳ 450.00
Acilog Mix,30%+70%,Biphasic Insulin Aspart (rDNA),ACI Limited,3 ml vial : ৳ 450.00
Acin,150 mg,Ranitidine,Biopharma Laboratories Ltd.,Unit Price : ৳ 2.01
Acin,300 mg,Ranitidine,Biopharma Laboratories Ltd.,Unit Price : ৳ 3.49
Acin,75 mg/5 ml,Ranitidine,Biopharma Laboratories Ltd.,100 ml bottle : ৳ 44.95
Acipam,5 mg,Escitalopram,Ibn-Sina Pharmaceuticals Ltd.,Unit Price : ৳ 5.00
Acipam,10 mg,Escitalopram,Ibn-Sina Pharmaceuticals Ltd.,Unit Price : ৳ 10.01
Aciphin,250 mg/5 ml,Ceftriaxone,ACI Limited,250 mg vial : ৳ 100.30
Aciphin,500 mg/10 ml,Ceftriaxone,ACI Limited,500 mg vial : ৳ 130.39
Aciphin,1 gm/10 ml,Ceftriaxone,ACI Limited,1 gm vial : ৳ 191.29
Aciphin,250 mg/5 ml,Ceftriaxone,ACI Limited,250 mg vial : ৳ 100.30
Aciphin,500 mg/5 ml,Ceftriaxone,ACI Limited,500 mg vial : ৳ 130.39
Aciphin,1 gm/10 ml,Ceftriaxone,ACI Limited,1 gm vial : ৳ 191.29
Aciphin,2 gm/10 ml,Ceftriaxone,ACI Limited,2 gm vial : ৳ 302.05
Aciprin CV,75 mg,Aspirin,ACI Limited,Unit Price : ৳ 0.36
Acira,4 mg,Chlorpheniramine Maleate,ACI Limited,Unit Price : ৳ 0.30
Acira,2 mg/5 ml,Chlorpheniramine Maleate,ACI Limited,100 ml bottle : ৳ 14.09
Acitrin,10 mg,Cetirizine Dihydrochloride,ACI Limited,Unit Price : ৳ 3.01
Acitrin,5 mg/5 ml,Cetirizine Dihydrochloride,ACI Limited,60 ml bottle : ৳ 30.00
Acitrin,2.5 mg/ml,Cetirizine Dihydrochloride,ACI Limited,15 ml bottle : ৳ 25.00
Acitrin-L,5 mg,Levocetirizine Dihydrochloride,ACI Limited,Unit Price : ৳ 3.01
Acitrin-L,2.5 mg/5 ml,Levocetirizine Dihydrochloride,ACI Limited,60 ml bottle : ৳ 55.00
Aclasta,5 mg/100 ml,Zoledronic Acid (For hypercalcemia),SANDOZ (A Novartis Division),100 ml bottle : ৳ 33,927.98
Aclene,0.1%,Adapalene,Drug International Limited,10 gm tube : ৳ 60.20
Aclene Plus,0.1% + 2.5%,Adapalene + Benzoyl peroxide,Drug International Limited,10 gm tube : ৳ 150.00
Acliz,50 mg,Meclizine Hydrochloride,Aristopharma Ltd.,Unit Price : ৳ 2.50
Acliz Plus,25 mg+50 mg,Meclizine + Pyridoxine,Aristopharma Ltd.,Unit Price : ৳ 3.00
Aclo,100 mg,Aceclofenac,Alco Pharma Limited,Unit Price : ৳ 2.99
Aclobet,0.05%,Clobetasol Propionate,Acme Laboratories Limited,10 gm tube : ৳ 45.13
Aclobet,0.05%,Clobetasol Propionate,Acme Laboratories Limited,10 gm tube : ৳ 50.14
Aclobet-N,0.05% + 0.5% + 2%,Clobetasol Propionate + Neomycin Sulphate + Nystatin,Acme Laboratories Limited,10 gm tube : ৳ 60.18
Aclobet-N,0.05% + 0.5% + 2%,Clobetasol Propionate + Neomycin Sulphate + Nystatin,Acme Laboratories Limited,15 gm tube : ৳ 65.45
Aclonac,100 mg,Aceclofenac,Pharmasia Limited,Unit Price : ৳ 4.00
Aclopain,100 mg,Aceclofenac,Julphar Bangladesh Ltd.,Unit Price : ৳ 3.00
Aclosol,0.05%,Clobetasol Propionate,Ad-din pharmaceuticals Ltd.,10 gm tube : ৳ 45.00
Aclovix,100 mg,Aceclofenac,Aexim Pharmaceuticals Ltd.,Unit Price : ৳ 2.50
Acme's Cholera Saline,,Cholera Saline,Acme Laboratories Limited,500 ml bag : ৳ 70.14
Acme's Dextrose,5% w/v,Dextrose,Acme Laboratories Limited,500 ml bag : ৳ 71.30
Acme's Dextrose DS,10% w/v,Dextrose,Acme Laboratories Limited,500 ml bag : ৳ 78.20
Acme's DNS,0.9%+5%,Sodium Chloride + Dextrose,Acme Laboratories Limited,500 ml bag : ৳ 75.89
Acme's Hartmann Solution,,Hartmann's Solution,Acme Laboratories Limited,500 ml bag : ৳ 71.30
Acme's Mannitol,20%,Mannitol,Acme Laboratories Limited,500 ml bottle : ৳ 155.47
Acme's Milk of magnesia,400 mg/5 ml,Magnesium Hydroxide,Acme Laboratories Limited,114 ml bottle : ৳ 60.18
Acme's Normal Saline,0.9%,Sodium Chloride (Intravenous Solution),Acme Laboratories Limited,500 ml bag : ৳ 67.85
Acme's ORS,13.95 gm,Oral Rehydration Salt (Powder),Acme Laboratories Limited,Unit Price : ৳ 5.00
Acmecilin,125 mg/5 ml,Ampicillin,Acme Laboratories Limited,100 ml bottle : ৳ 39.71
Acmecilin,250 mg,Ampicillin,Acme Laboratories Limited,Unit Price : ৳ 3.31
Acmecilin,250 mg/vial,Ampicillin,Acme Laboratories Limited,250 mg vial : ৳ 19.43
Acmecilin,500 mg/vial,Ampicillin,Acme Laboratories Limited,500 mg vial : ৳ 27.32
Acmegra,25 mg,Sildenafil Citrate,Acme Laboratories Limited,Unit Price : ৳ 20.07
Acmegra,50 mg,Sildenafil Citrate,Acme Laboratories Limited,Unit Price : ৳ 30.10
Acmegra,100 mg,Sildenafil Citrate,Acme Laboratories Limited,Unit Price : ৳ 50.14
ACN,100 mg,Aceclofenac,Modern Pharmaceuticals Limited,Unit Price : ৳ 3.00
Acne-Aid,6.3%,Sulphonated Surfactant,GlaxoSmithKline,100 gm bar : ৳ 310.00
Acne-Aid,2%,Sulphonated Surfactant,GlaxoSmithKline,150 ml bottle : ৳ 649.00
Acnecare,0.5%,Salicylic Acid,General Pharmaceuticals Ltd.,10 gm tube : ৳ 100.30
Acnegel,0.1% + 2.5%,Adapalene + Benzoyl peroxide,Acme Laboratories Limited,10 gm tube : ৳ 160.46
Acora,90 mg,Ticagrelor,ACI Limited,Unit Price : ৳ 75.00
Acorex,15 mg/5 ml,Ambroxol Hydrochloride,Apex Pharmaceuticals Ltd.,100 ml bottle : ৳ 40.00
Acos,250 mg,Azithromycin,Radiant Pharmaceuticals Ltd.,Unit Price : ৳ 27.08
Acos,500 mg,Azithromycin,Radiant Pharmaceuticals Ltd.,Unit Price : ৳ 40.12
Acos,500 mg,Azithromycin,Radiant Pharmaceuticals Ltd.,Unit Price : ৳ 55.00
Acos,200 mg/5 ml,Azithromycin,Radiant Pharmaceuticals Ltd.,30 ml bottle : ৳ 175.00
Acryth,125 mg/5 ml,Erythromycin (Oral),Monicopharma Limited,100 ml bottle : ৳ 60.00
Act,500 mg,Paracetamol,Ambee Pharmaceuticals Ltd.,Unit Price : ৳ 0.58
Act,120 mg/5 ml,Paracetamol,Ambee Pharmaceuticals Ltd.,60 ml bottle : ৳ 12.84
